feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-4,Пять,Семь гласных по количству степеней подъема не интерпретируются.,
A-2,Подъемы гласных,not_stated,,,Степени подъема терминологически не интерпретируются.,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,custom,,Гласные по признаку ряда терминологически не интерпретируются,,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,,
A-10,Типы дифтонгов,not_applicable,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,Смычные: чистые и аффрикаиы (одно- и двухфокусные) и щелевые (одно- и двухфокусные),,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,11 переднеязычных согласных (приводимых в символах кириллического алфавита) терминологически не интерпретируются.,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-4,По палатализации,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды","Глайды /у/ и /й/ определяются как срединные щелевые, /л/ - как боковой щелевой, /м/ и /н/ - как сонанты в составе смычных, /р/ - как дрожащий в виде отдельной группы.",
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,listed,B-1-4,Фонологическое/ нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,Ударение характеризуется как фразовое.,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-9,Начальный или второй слог,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,not_stated,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,custom,,"Ассимиляция (озвончение и оглушение), диссимимляция и геминация согласных, протеза, стяжение и выпадение гласных",,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-5,Запрет на любые стечения гласных,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-1,Отсутствуют,Других данных нет.,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-3,Акцентные различия,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,Других данных нет.,
D-7,Функциональный тип чередований,not_stated,,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-5,Флективно-агглютинативный,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,
E-4,Тип языка по степени спаянности морфем,custom,,Язык смешанного морфологического типа,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,
F-7,Классифицирующие категории существительных,custom,,Личность/вещь,,
F-8,Противопоставление по личности/ неличности,listed,F-8-2,Морфологическое,,
F-9,Способ выражения одушествленности/ неодушевленности,not_stated,,,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,not_stated,,,,
G-7,"Неопределенный артикль и числительное ""один""",not_stated,,,,
H-1,Количество падежей у имени существительного,listed,H-1-3,Восемь-двенадцать,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,not_stated,,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,
H-6,Способ выражения пространственных отношений,custom,,Пространственные падежи и превербы,,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,,
H-9,Наличие вторичных падежей,not_stated,,,,
I-1,Способ выражения залоговых форм в глаголе,custom,,"Тип основы, значимое морфонологическое чередование, вспомогательный глагол + причестие, препозитивное возвратное местоимение",,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-1,Отсутствует,,
I-5,Основные временные противопоставления,listed,I-5-11,"Настоящее-будущее, будущее и прошедшее",,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,listed,I-10-4,Значимое морфологическое чередование,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,
J-2,Способы выражения дейктических категорий,listed,J-2-17,"Указательные местоимения, послелоги и наречия",,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
J-6,"Части речи, выражающие определенность-неопределенность имени",not_stated,,,,
J-7,Способы выражения форм вежливости,not_stated,,,,
J-8,Способы выражения отрицания,listed,J-8-6,Отрицательные местоимения и частицы,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
K-3,Расположение артикля,not_applicable,,,,
K-4,Постановка артикля в именной группе,not_applicable,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_applicable,,,,
K-6,Количество типов спряжения глаголов,listed,K-6-1,Единый тип спряжения,Других данных нет.,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",listed,K-8-5,Число,,
K-9,"Время, выражаемое причастием",listed,K-9-4,Прошедшее,Других данных нет.,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-1,Отсутствуют,Других данных нет.,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,not_stated,,,,
K-14,Типы атрибутивного согласования,not_stated,,,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",custom,,"Определенность, число и падеж",,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-6,Числа и падежа,,
K-17,Средства словоизменения,listed,K-17-5,Внутренняя флексия и аффиксы,,
K-18,Модель словоформы,not_stated,,,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,
L-2,"Аффиксы, участвующие в словообразовании",custom,,Суффиксы и превербы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,not_stated,,,,
M-2,Фиксированность порядка слов,listed,M-2-3,Относительно свободный,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-1,Определение предшествует определяемому,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,not_stated,,,,
N-4,Тип построения сложного предложения,listed,N-4-4,Сочинение и подчинение,,
N-5,Тип связи между элементами сложного предложения,listed,N-5-3,Союзная и бессоюзная,,
_aux,,not_applicable,,,А.К.Зотова,
