id,ISO 3166-1 alpha-3,historical,en,ru
abk,,0,Abkhazia,Абхазия
abw,ABW,0,Aruba,Аруба
afg,AFG,0,Afghanistan,Афганистан
ago,AGO,0,Angola,Ангола
aia,AIA,0,Anguilla,Ангилья
ala,ALA,0,Åland Islands,Аландские острова
alb,ALB,0,Albania,Албания
and,AND,0,Andorra,Андорра
ant,ANT,0,Netherlands Antilles,Нидерландские Антильские острова
are,ARE,0,United Arab Emirates,ОАЭ
arg,ARG,0,Argentina,Аргентина
arm,ARM,0,Armenia,Армения
asm,ASM,0,American Samoa,Американское Самоа
ata,ATA,0,Antarctica,Антарктида
atf,ATF,0,French Southern Territories,Французские Южные и Антарктические Территории
atg,ATG,0,Antigua and Barbuda,Антигуа и Барбуда
aus,AUS,0,Australia,Австралия
aut,AUT,0,Austria,Австрия
aze,AZE,0,Azerbaijan,Азербайджан
bdi,BDI,0,Burundi,Бурунди
bel,BEL,0,Belgium,Бельгия
ben,BEN,0,Benin,Бенин
bfa,BFA,0,Burkina Faso,Буркина Фасо
bgd,BGD,0,Bangladesh,Бангладеш
bgr,BGR,0,Bulgaria,Болгария
bhr,BHR,0,Bahrain,Бахрейн
bhs,BHS,0,Bahamas,Багамы
bih,BIH,0,Bosnia and Herzegovina,Босния и Герцеговина
blm,BLM,0,Saint Barthélemy,Сен-Бартелеми
blr,BLR,0,Belarus,Белоруссия
blz,BLZ,0,Belize,Белиз
bmu,BMU,0,Bermuda,Бермуды
bol,BOL,0,Bolivia,Боливия
bra,BRA,0,Brazil,Бразилия
brb,BRB,0,Barbados,Барбадос
brn,BRN,0,Brunei Darussalam,Бруней
btn,BTN,0,Bhutan,Бутан
bvt,BVT,0,Bouvet Island,Остров Буве
bwa,BWA,0,Botswana,Ботсвана
caf,CAF,0,Central African Republic,ЦАР
can,CAN,0,Canada,Канада
cck,CCK,0,Cocos (Keeling) Islands,Кокосовые острова
che,CHE,0,Switzerland,Швейцария
chl,CHL,0,Chile,Чили
chn,CHN,0,China,КНР
civ,CIV,0,Côte d'Ivoire,Кот-д’Ивуар
cmr,CMR,0,Cameroon,Камерун
cod,COD,0,The Democratic Republic of the Congo,Демократическая Республика Конго
cog,COG,0,Congo,Республика Конго
cok,COK,0,Cook Islands,Острова Кука
col,COL,0,Colombia,Колумбия
com,COM,0,Comoros,Коморы
cpv,CPV,0,Cape Verde,Кабо-Верде
cri,CRI,0,Costa Rica,Коста-Рика
cub,CUB,0,Cuba,Куба
cxr,CXR,0,Christmas Island,Остров Рождества
cym,CYM,0,Cayman Islands,Каймановы острова
cyp,CYP,0,Cyprus,Кипр
cze,CZE,0,Czech Republic,Чехия
deu,DEU,0,Germany,Германия
dji,DJI,0,Djibouti,Джибути
dma,DMA,0,Dominica,Доминика
dnk,DNK,0,Denmark,Дания
dom,DOM,0,Dominican Republic,Доминиканская Республика
dza,DZA,0,Algeria,Алжир
ecu,ECU,0,Ecuador,Эквадор
egy,EGY,0,Egypt,Египет
eri,ERI,0,Eritrea,Эритрея
esh,ESH,0,Western Sahara,Западная Сахара
esp,ESP,0,Spain,Испания
est,EST,0,Estonia,Эстония
eth,ETH,0,Ethiopia,Эфиопия
fin,FIN,0,Finland,Финляндия
fji,FJI,0,Fiji,Фиджи
flk,FLK,0,Falkland Islands (Malvinas),Фолклендские острова
fra,FRA,0,France,Франция
fro,FRO,0,Faroe Islands,Фарерские острова
fsm,FSM,0,Federal States of Micronesia,Микронезия
gab,GAB,0,Gabon,Габон
gbr,GBR,0,United Kingdom,Великобритания
geo,GEO,0,Georgia,Грузия
ggy,GGY,0,Guernsey,Гернси
gha,GHA,0,Ghana,Гана
gib,GIB,0,Gibraltar,Гибралтар
gin,GIN,0,Guinea,Гвинея
glp,GLP,0,Guadeloupe,Гваделупа
gmb,GMB,0,Gambia,Гамбия
gnb,GNB,0,Guinea-Bissau,Гвинея-Бисау
gnq,GNQ,0,Equatorial Guinea,Экваториальная Гвинея
grc,GRC,0,Greece,Греция
grd,GRD,0,Grenada,Гренада
grl,GRL,0,Greenland,Гренландия
gtm,GTM,0,Guatemala,Гватемала
guf,GUF,0,French Guiana,Французская Гвиана
gum,GUM,0,Guam,Гуам
guy,GUY,0,Guyana,Гайана
hkg,HKG,0,Hong Kong,Гонконг
hmd,HMD,0,Heard Island and McDonald Islands,Херд и Макдональд
hnd,HND,0,Honduras,Гондурас
hrv,HRV,0,Croatia,Хорватия
hti,HTI,0,Haiti,Гаити
hun,HUN,0,Hungary,Венгрия
idn,IDN,0,Indonesia,Индонезия
imn,IMN,0,Isle of Man,Остров Мэн
ind,IND,0,India,Индия
iot,IOT,0,British Indian Ocean Territory,Британская территория в Индийском океане
irl,IRL,0,Ireland,Ирландия
irn,IRN,0,Iran,Иран
irq,IRQ,0,Iraq,Ирак
isl,ISL,0,Iceland,Исландия
isr,ISR,0,Israel,Израиль
ita,ITA,0,Italy,Италия
jam,JAM,0,Jamaica,Ямайка
jey,JEY,0,Jersey,Джерси
jor,JOR,0,Jordan,Иордания
jpn,JPN,0,Japan,Япония
kaz,KAZ,0,Kazakhstan,Казахстан
ken,KEN,0,Kenya,Кения
kgz,KGZ,0,Kyrgyzstan,Киргизия
khm,KHM,0,Cambodia,Камбоджа
kir,KIR,0,Kiribati,Кирибати
kna,KNA,0,Saint Kitts and Nevis,Сент-Китс и Невис
kor,KOR,0,South Korea,Республика Корея
ksv,,0,Kosovo,Косово
kwt,KWT,0,Kuwait,Кувейт
lao,LAO,0,Lao People's Democratic Republic,Лаос
lbn,LBN,0,Lebanon,Ливан
lbr,LBR,0,Liberia,Либерия
lby,LBY,0,Libyan Arab Jamahiriya,Ливия
lca,LCA,0,Saint Lucia,Сент-Люсия
lie,LIE,0,Liechtenstein,Лихтенштейн
lka,LKA,0,Sri Lanka,Шри-Ланка
lso,LSO,0,Lesotho,Лесото
ltu,LTU,0,Lithuania,Литва
lux,LUX,0,Luxembourg,Люксембург
lva,LVA,0,Latvia,Латвия
mac,MAC,0,Macao,Макао
maf,MAF,0,Saint Martin (French part),Сен-Мартен
mar,MAR,0,Morocco,Марокко
mco,MCO,0,Monaco,Монако
mda,MDA,0,Moldova,Молдавия
mdg,MDG,0,Madagascar,Мадагаскар
mdv,MDV,0,Maldives,Мальдивы
mex,MEX,0,Mexico,Мексика
mhl,MHL,0,Marshall Islands,Маршалловы Острова
mkd,MKD,0,North Macedonia,Северная Македония
mli,MLI,0,Mali,Мали
mlt,MLT,0,Malta,Мальта
mmr,MMR,0,Myanmar,Мьянма
mne,MNE,0,Montenegro,Черногория
mng,MNG,0,Mongolia,Монголия
mnp,MNP,0,Northern Mariana Islands,Северные Марианские острова
moz,MOZ,0,Mozambique,Мозамбик
mrt,MRT,0,Mauritania,Мавритания
msr,MSR,0,Montserrat,Монтсеррат
mtq,MTQ,0,Martinique,Мартиника
mus,MUS,0,Mauritius,Маврикий
mwi,MWI,0,Malawi,Малави
mys,MYS,0,Malaysia,Малайзия
myt,MYT,0,Mayotte,Майотта
nam,NAM,0,Namibia,Намибия
ncl,NCL,0,New Caledonia,Новая Каледония
ncp,,0,Northern Cyprus,Северный Кипр
ner,NER,0,Niger,Нигер
nfk,NFK,0,Norfolk Island,Остров Норфолк
nga,NGA,0,Nigeria,Нигерия
nic,NIC,0,Nicaragua,Никарагуа
niu,NIU,0,Niue,Ниуэ
nld,NLD,0,Netherlands,Нидерланды
nor,NOR,0,Norway,Норвегия
npl,NPL,0,Nepal,Непал
nru,NRU,0,Nauru,Науру
nzl,NZL,0,New Zealand,Новая Зеландия
omn,OMN,0,Oman,Оман
pak,PAK,0,Pakistan,Пакистан
pan,PAN,0,Panama,Панама
pcn,PCN,0,Pitcairn,Острова Питкэрн
per,PER,0,Peru,Перу
phl,PHL,0,Philippines,Филиппины
plw,PLW,0,Palau,Палау
png,PNG,0,Papua New Guinea,Папуа — Новая Гвинея
pol,POL,0,Poland,Польша
pri,PRI,0,Puerto Rico,Пуэрто-Рико
prk,PRK,0,North Korea,КНДР
prt,PRT,0,Portugal,Португалия
pry,PRY,0,Paraguay,Парагвай
pse,PSE,0,Palestinian Territory,Палестина
pyf,PYF,0,French Polynesia,Французская Полинезия
qat,QAT,0,Qatar,Катар
reu,REU,0,Réunion,Реюньон
rou,ROU,0,Romania,Румыния
rus,RUS,0,Russian Federation,Россия
rwa,RWA,0,Rwanda,Руанда
sau,SAU,0,Saudi Arabia,Саудовская Аравия
sdn,SDN,0,Sudan,Судан
ssd,,0,South Sudan,Южный Судан
sen,SEN,0,Senegal,Сенегал
sgp,SGP,0,Singapore,Сингапур
sgs,SGS,0,South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы острова
shn,SHN,0,"Saint Helena, Ascension and Tristan da Cunha",Остров Святой Елены
sjm,SJM,0,Svalbard and Jan Mayen,Шпицберген и Ян-Майен
slb,SLB,0,Solomon Islands,Соломоновы Острова
sle,SLE,0,Sierra Leone,Сьерра-Леоне
slv,SLV,0,El Salvador,Сальвадор
smr,SMR,0,San Marino,Сан-Марино
som,SOM,0,Somalia,Сомали
sos,,0,South Ossetia,Южная Осетия
spm,SPM,0,Saint Pierre and Miquelon,Сен-Пьер и Микелон
srb,SRB,0,Serbia,Сербия
stp,STP,0,Sao Tome and Principe,Сан-Томе и Принсипи
sur,SUR,0,Suriname,Суринам
svk,SVK,0,Slovakia,Словакия
svn,SVN,0,Slovenia,Словения
swe,SWE,0,Sweden,Швеция
swz,SWZ,0,Swaziland,Свазиленд
syc,SYC,0,Seychelles,Сейшельские Острова
syr,SYR,0,Syrian Arab Republic,Сирия
tca,TCA,0,Turks and Caicos Islands,Тёркс и Кайкос
tcd,TCD,0,Chad,Чад
tgo,TGO,0,Togo,Того
tha,THA,0,Thailand,Таиланд
tjk,TJK,0,Tajikistan,Таджикистан
tkl,TKL,0,Tokelau,Токелау
tkm,TKM,0,Turkmenistan,Туркмения
tls,TLS,0,Timor-Leste,Восточный Тимор
ton,TON,0,Tonga,Тонга
tto,TTO,0,Trinidad and Tobago,Тринидад и Тобаго
tun,TUN,0,Tunisia,Тунис
tur,TUR,0,Turkey,Турция
tuv,TUV,0,Tuvalu,Тувалу
twn,TWN,0,Taiwan,Китайская Республика
tza,TZA,0,Tanzania,Танзания
uga,UGA,0,Uganda,Уганда
ukr,UKR,0,Ukraine,Украина
umi,UMI,0,United States Minor Outlying Islands,Внешние малые острова (США)
ury,URY,0,Uruguay,Уругвай
usa,USA,0,United States,США
uzb,UZB,0,Uzbekistan,Узбекистан
vat,VAT,0,Vatican,Ватикан
vct,VCT,0,Saint Vincent and the Grenadines,Сент-Винсент и Гренадины
ven,VEN,0,Venezuela,Венесуэла
vgb,VGB,0,Virgin Islands (British),Британские Виргинские острова
vir,VIR,0,Virgin Islands (U.S.),Американские Виргинские острова
vnm,VNM,0,Vietnam,Вьетнам
vut,VUT,0,Vanuatu,Вануату
wlf,WLF,0,Wallis and Futuna,Уоллис и Футуна
wsm,WSM,0,Samoa,Самоа
yem,YEM,0,Yemen,Йемен
zaf,ZAF,0,South Africa,ЮАР
zmb,ZMB,0,Zambia,Замбия
zwe,ZWE,0,Zimbabwe,Зимбабве
xah,,1,Achaemenid Empire,Держава Ахеменидов
xan,,1,Anatolia,Анатолия
xas,,1,Assyria,Ассирия
xba,,1,Babylonia,Вавилония
xbc,,1,Bactria,Бактрия
xel,,1,Elam,Элам
xgl,,1,Gaul,Галлия
xgh,,1,Golden Horde,Золотая Орда
xgm,,1,Great Moravia,Великая Моравия
xep,,1,Hephthalite Empire,Государство Эфталитов
xhr,,1,Khwarazm (Chorasmia),Хорезм
xks,,1,Kushan Empire,Кушанское царство
xlc,,1,Lycia,Ликия
xld,,1,Lydia,Лидия
xmd,,1,Media,Мидия
xmt,,1,Mitanni,Митанни
xpt,,1,Parthian Empire,Парфянское царство
xph,,1,Phrygian Empire,Фригийское царство
xpr,,1,Prussia,Пруссия
xss,,1,Sasanian Empire,Государство Сасанидов
xtm,,1,Timurid Empire,Империя Тимуридов
xug,,1,Ugarit,Угарит
xvb,,1,Volga Bulgaria,Волжская Булгария
xgb,,1,Great Bulgaria,Великая Болгария
xjn,,1,Jin Empire,Империя Цзинь
xqn,,1,Qin Empire,Империя Цинь
xqg,,1,Qing Empire,Империя Цин
xjd,,1,Kingdom of Judah,Иудейское царство
xrm,,1,Roman Empire,Римская империя
xur,,1,Urartu,Урарту
xyg,,1,Yugoslavia,Югославия
xrs,,1,Kievan Rus',Киевская Русь