doculect_id,country_id
aragonese,esp
aromanian,rou
aromanian,grc
aromanian,mkd
aromanian,bgr
aromanian,tur
aromanian,deu
aromanian,fra
aromanian,srb
aromanian,usa
aromanian,alb
asturian,esp
catalan,ita
catalan,cub
catalan,esp
catalan,fra
catalan,arg
catalan,and
corsican,ita
corsican,fra
dalmatian,mne
dalmatian,hrv
franco_provencal,che
franco_provencal,fra
franco_provencal,ita
french,caf
french,mrt
french,hti
french,tcd
french,dji
french,bfa
french,lao
french,syc
french,usa
french,com
french,grd
french,gin
french,mar
french,gnq
french,dza
french,gbr
french,che
french,ind
french,glp
french,mtq
french,mdg
french,tgo
french,lca
french,vut
french,civ
french,and
french,syr
french,tun
french,cmr
french,mus
french,ita
french,ben
french,vnm
french,vct
french,cog
french,fra
french,rwa
french,tto
french,lux
french,bdi
french,ner
french,mli
french,mco
french,gab
french,sen
french,bel
french,khm
french,lbn
french,cod
french,can
friulian,rou
friulian,ita
galician,esp
gascon,esp
gascon,fra
istriot,hrv
istro_romanian,hrv
italian,hrv
italian,ita
italian,che
italian,can
italian,aus
italian,bel
italian,svn
italian,fra
italian,mlt
italian,arg
italian,smr
italian,usa
italian,bra
italian,bih
italian,ven
judeo_spanish,rou
judeo_spanish,grc
judeo_spanish,egy
judeo_spanish,mar
judeo_spanish,mkd
judeo_spanish,ita
judeo_spanish,gbr
judeo_spanish,bgr
judeo_spanish,tur
judeo_spanish,bel
judeo_spanish,fra
judeo_spanish,esp
judeo_spanish,isr
judeo_spanish,prt
judeo_spanish,srb
judeo_spanish,pse
judeo_spanish,usa
judeo_spanish,bih
ladin,ita
megleno_romanian,rou
megleno_romanian,grc
megleno_romanian,mkd
megleno_romanian,tur
megleno_romanian,uzb
occitan,esp
occitan,ita
occitan,mco
occitan,fra
old_french,gbr
old_french,bel
old_french,fra
portuguese,chn
portuguese,moz
portuguese,lka
portuguese,ind
portuguese,gnq
portuguese,tls
portuguese,idn
portuguese,bra
portuguese,prt
portuguese,cpv
portuguese,ago
portuguese,gnb
portuguese,stp
rhaeto_romance,che
romanian,rou
romanian,bgr
romanian,aus
romanian,hun
romanian,srb
romanian,ukr
romanian,usa
romanian,mda
sardinian,ita
spanish,phl
spanish,mex
spanish,slv
spanish,bol
spanish,esp
spanish,usa
spanish,hnd
spanish,gnq
spanish,cub
spanish,and
spanish,cri
spanish,ury
spanish,col
spanish,per
spanish,chl
spanish,ecu
spanish,esh
spanish,nic
spanish,pry
spanish,pri
spanish,dom
spanish,arg
spanish,gtm
spanish,ven
spanish,pan
enets,rus
erzya,aze
erzya,kgz
erzya,tkm
erzya,uzb
erzya,ukr
erzya,kaz
erzya,rus
estonian,gbr
estonian,can
estonian,aus
estonian,deu
estonian,usa
estonian,est
estonian,swe
finnish,fin
finnish,nor
finnish,can
finnish,usa
finnish,est
finnish,rus
finnish,swe
hungarian,rou
hungarian,aut
hungarian,hrv
hungarian,can
hungarian,aus
hungarian,svn
hungarian,isr
hungarian,srb
hungarian,hun
hungarian,ukr
hungarian,usa
hungarian,svk
ingrian,rus
kamassian,rus
karelian,fin
karelian,rus
karelian,swe
khanty,rus
komi_permyak,rus
komi_zyrian,kaz
komi_zyrian,ukr
komi_zyrian,rus
livonian,lva
livonian,ltu
mansi,rus
mari,rus
moksha,rus
nenets,rus
nganasan,rus
selkup,rus
udmurt,rus
veps,rus
votic,rus
alabugat_tatar,rus
altai,rus
astrakhan_karagash_nogai,rus
azerbaijani,arm
azerbaijani,irq
azerbaijani,tur
azerbaijani,afg
azerbaijani,irn
azerbaijani,geo
azerbaijani,aze
azerbaijani,rus
bashkir,rus
bulgar,xvb
bulgar,rus
bulgar,xgb
chagatai,ind
chagatai,xtm
chagatai,tkm
chagatai,irn
chuvash,rus
crimean_tatar,rou
crimean_tatar,aze
crimean_tatar,kgz
crimean_tatar,bgr
crimean_tatar,tur
crimean_tatar,uzb
crimean_tatar,tjk
crimean_tatar,geo
crimean_tatar,ukr
crimean_tatar,rus
crimean_tatar,ltu
dolgan,rus
gagauz,rou
gagauz,grc
gagauz,bgr
gagauz,tur
gagauz,uzb
gagauz,ukr
gagauz,kaz
gagauz,mda
gagauz,rus
karachay_balkar,kaz
karachay_balkar,rus
karaim,ukr
karaim,pol
karaim,ltu
karakalpak,afg
karakalpak,tkm
karakalpak,uzb
karakalpak,kaz
karakalpak,rus
karakhanid_uighur,chn
karakhanid_uighur,kaz
kazakh,chn
kazakh,kgz
kazakh,tur
kazakh,tkm
kazakh,afg
kazakh,uzb
kazakh,tjk
kazakh,mng
kazakh,kaz
kazakh,rus
khakas,rus
khwarezmian_turkic,xgh
khwarezmian_turkic,rus
kumyk,rus
kyrgyz,chn
kyrgyz,pak
kyrgyz,kgz
kyrgyz,afg
kyrgyz,uzb
kyrgyz,tjk
kyrgyz,kaz
kyrgyz,rus
nogai,rus
oghuz_x_xi,kaz
oghuz_x_xi,uzb
old_anatolian_turkic,tur
old_uighur,mng
orkhon_yenisei_inscriptions,rus
orkhon_yenisei_inscriptions,mng
polovets,rus
polovets,hun
salar,chn
saryg_yugur,chn
shor,rus
tatar,chn
tatar,rou
tatar,kgz
tatar,kaz
tatar,tur
tatar,tkm
tatar,uzb
tatar,isr
tatar,fin
tatar,tjk
tatar,lva
tatar,ukr
tatar,geo
tatar,aze
tatar,usa
tatar,rus
tatar,ltu
tofalar,rus
turki,ind
turki,kgz
turki,tkm
turki,afg
turki,uzb
turki,tjk
turki,irn
turki,kaz
turki,rus
turkish,rou
turkish,grc
turkish,mkd
turkish,sau
turkish,irq
turkish,bgr
turkish,tur
turkish,cyp
turkish,isr
turkish,lbn
turkish,xyg
turkish,syr
turkish,aze
turkish,alb
turkish,bih
turkish,ksv
turkish,ncp
turkmen,irq
turkmen,tur
turkmen,tkm
turkmen,afg
turkmen,uzb
turkmen,tjk
turkmen,irn
turkmen,syr
turkmen,kaz
turkmen,rus
tuvan,rus
tuvan,mng
uighur,chn
uighur,kgz
uighur,tur
uighur,tkm
uighur,afg
uighur,uzb
uighur,kaz
uighur,sau
uzbek,chn
uzbek,kgz
uzbek,tkm
uzbek,afg
uzbek,uzb
uzbek,tjk
uzbek,kaz
uzbek,rus
yakut,rus
buryat,chn
buryat,rus
buryat,mng
dagur,chn
even,rus
evenki,chn
evenki,rus
evenki,mng
japanese,jpn
japanese,usa
japanese,bra
kalmyk,rus
kalmyk,kgz
korean,kor
manchu,chn
manchu,xqg
moghol,afg
mongolian,chn
mongolian,mng
mongols_of_inner_mongolia,chn
monguor,chn
nanai,chn
nanai,rus
negidal,rus
oirat,chn
oirat,mng
old_japanese,jpn
oroch,rus
orok,jpn
orok,rus
pao_an,chn
santa,chn
shira_yugur,chn
solon,chn
udihe,rus
ulch,rus
written_mongolian,chn
written_mongolian,mng
belorussian,blr
belorussian,pol
belorussian,gbr
belorussian,kaz
belorussian,can
belorussian,deu
belorussian,aus
belorussian,lva
belorussian,arg
belorussian,mda
belorussian,ukr
belorussian,usa
belorussian,rus
belorussian,est
belorussian,ltu
bulgarian,rou
bulgarian,grc
bulgarian,mkd
bulgarian,bgr
bulgarian,can
bulgarian,tur
bulgarian,aus
bulgarian,cze
bulgarian,srb
bulgarian,hun
bulgarian,ukr
bulgarian,usa
bulgarian,mda
bulgarian,rus
bulgarian,svk
czech,rou
czech,aut
czech,hrv
czech,can
czech,aus
czech,mda
czech,arg
czech,cze
czech,ukr
czech,usa
czech,bih
czech,rus
czech,svk
kashubian,usa
kashubian,can
kashubian,pol
macedonian,grc
macedonian,mkd
macedonian,bgr
macedonian,can
macedonian,aus
macedonian,srb
macedonian,usa
macedonian,alb
old_church_slavonic,blr
old_church_slavonic,pol
old_church_slavonic,mkd
old_church_slavonic,kaz
old_church_slavonic,bgr
old_church_slavonic,mda
old_church_slavonic,cze
old_church_slavonic,srb
old_church_slavonic,xgm
old_church_slavonic,ukr
old_church_slavonic,mne
old_church_slavonic,rus
old_church_slavonic,usa
old_church_slavonic,svk
old_russian,ukr
old_russian,xrs
polabian,pol
polabian,deu
polish,blr
polish,pol
polish,gbr
polish,can
polish,deu
polish,bra
polish,aus
polish,fra
polish,lva
polish,ukr
polish,cze
polish,kaz
polish,usa
polish,rus
polish,svk
polish,ltu
russian,arm
russian,kgz
russian,abk
russian,geo
russian,ukr
russian,blr
russian,can
russian,uzb
russian,isr
russian,aze
russian,rus
russian,ltu
russian,tkm
russian,aus
russian,tjk
russian,mda
russian,est
russian,rou
russian,deu
russian,kaz
russian,lva
serbocroatian,aut
serbocroatian,rou
serbocroatian,hrv
serbocroatian,mkd
serbocroatian,ita
serbocroatian,can
serbocroatian,deu
serbocroatian,aus
serbocroatian,svn
serbocroatian,alb
serbocroatian,srb
serbocroatian,hun
serbocroatian,usa
serbocroatian,mne
serbocroatian,bih
serbocroatian,ksv
slovak,rou
slovak,cze
slovak,hun
slovak,srb
slovak,can
slovak,usa
slovak,svk
slovene,aut
slovene,hrv
slovene,ita
slovene,can
slovene,aus
slovene,deu
slovene,svn
slovene,fra
slovene,arg
slovene,hun
slovene,usa
sorbian,deu
ukrainian,arm
ukrainian,hrv
ukrainian,kgz
ukrainian,srb
ukrainian,geo
ukrainian,ukr
ukrainian,blr
ukrainian,uzb
ukrainian,isr
ukrainian,aze
ukrainian,rus
ukrainian,ltu
ukrainian,pol
ukrainian,tkm
ukrainian,aus
ukrainian,tjk
ukrainian,hun
ukrainian,cze
ukrainian,bih
ukrainian,est
ukrainian,mda
ukrainian,svk
ukrainian,rou
ukrainian,kaz
ukrainian,lva
latvian,blr
latvian,nzl
latvian,gbr
latvian,aus
latvian,deu
latvian,irl
latvian,can
latvian,usa
latvian,lva
latvian,rus
latvian,swe
lithuanian,blr
lithuanian,pol
lithuanian,gbr
lithuanian,can
lithuanian,ury
lithuanian,bra
lithuanian,aus
lithuanian,deu
lithuanian,lva
lithuanian,arg
lithuanian,ukr
lithuanian,usa
lithuanian,rus
lithuanian,ltu
prussian,xpr
prussian,rus
akkadian,irq
ancient_hebrew,isr
ancient_hebrew,pse
ancient_hebrew,xjd
classical_mandaic,irn
classical_mandaic,irq
classical_syriac,chn
classical_syriac,ind
classical_syriac,irq
jewish_palestinian_aramaic,isr
jewish_palestinian_aramaic,pse
modern_hebrew,isr
neo_aramaic_of_maalula,syr
neo_mandaic,jor
neo_mandaic,irq
neo_mandaic,aus
neo_mandaic,irn
neo_mandaic,syr
neo_mandaic,usa
neo_mandaic,swe
official_aramaic,xah
official_aramaic,irq
phoenician,dza
phoenician,ita
phoenician,cyp
phoenician,esp
phoenician,isr
phoenician,mlt
phoenician,lbn
phoenician,syr
phoenician,tun
turoyo,jor
turoyo,irq
turoyo,can
turoyo,tur
turoyo,deu
turoyo,aus
turoyo,lbn
turoyo,syr
turoyo,pse
turoyo,usa
turoyo,swe
ugaritic,syr
ugaritic,xug
afrikaans,nam
afrikaans,bwa
afrikaans,mwi
afrikaans,zaf
afrikaans,zwe
afrikaans,zmb
danish,dnk
danish,can
danish,aus
danish,deu
danish,arg
danish,grl
danish,usa
dutch,ant
dutch,sur
dutch,bel
dutch,nld
english,kir
english,phl
english,sgp
english,gha
english,lso
english,lbr
english,mlt
english,nru
english,syc
english,uga
english,usa
english,wsm
english,grd
english,ind
english,nam
english,nga
english,gbr
english,can
english,ken
english,ton
english,mwi
english,sdn
english,zmb
english,plw
english,cmr
english,pak
english,swz
english,tza
english,slb
english,aus
english,col
english,irl
english,ssd
english,zaf
english,png
english,rwa
english,fji
english,bhs
english,sle
english,brb
english,tuv
english,gmb
english,dom
english,zwe
english,jam
english,nzl
faroese,dnk
frisian,deu
frisian,nld
german,aut
german,rou
german,ita
german,che
german,can
german,deu
german,bel
german,bra
german,fra
german,kaz
german,usa
german,lux
german,rus
gothic,esp
gothic,xrm
gothic,xgl
gothic,ita
icelandic,isl
icelandic,usa
icelandic,can
luxembourgian,lux
luxembourgian,deu
luxembourgian,bel
luxembourgian,fra
norwegian,usa
norwegian,nor
norwegian,can
swedish,can
swedish,ala
swedish,fin
swedish,usa
swedish,est
swedish,swe
swiss_german,che
yiddish,ukr
yiddish,usa
yiddish,blr
yiddish,gbr
yiddish,che
yiddish,isr
yiddish,rus
yiddish,ltu
yiddish,pol
yiddish,nld
yiddish,ury
yiddish,aus
yiddish,fra
yiddish,zaf
yiddish,hun
yiddish,mda
yiddish,est
yiddish,rou
yiddish,bel
yiddish,arg
yiddish,can
yiddish,bra
yiddish,lva
dari,tjk
dari,afg
dari,irn
davani,irn
hazaragi,pak
hazaragi,afg
hazaragi,aus
hazaragi,uzb
hazaragi,tjk
hazaragi,irn
hazaragi,usa
kumzari,omn
kurdshuli,irn
middle_persian,irn
middle_persian,xss
old_persian,xel
old_persian,xba
old_persian,xas
old_persian,xss
old_persian,xld
old_persian,xah
old_persian,irn
old_persian,xpt
old_persian,xmd
persian,irn
tajik,kgz
tajik,afg
tajik,uzb
tajik,tjk
tajik,irn
tajik,kaz
tajik,rus
tati,aze
tati,rus
abdui,irn
aftari,irn
balochi,pak
balochi,afg
balochi,tkm
balochi,tjk
balochi,irn
biyabuneki,irn
farizandi,irn
gilaki,irn
gurani,irn
gurani,irq
jawshakani,irn
keshei,irn
kohrudi,irn
kurdish,arm
kurdish,irq
kurdish,tur
kurdish,tkm
kurdish,lbn
kurdish,irn
kurdish,geo
kurdish,syr
kurdish,aze
kurdish,usa
lasgerdi,irn
mazanderani,irn
meimei,irn
sangesari,irn
semnani,irn
shamerzadi,irn
surkhei,irn
talysh,aze
talysh,irn
velatru,irn
yarandi,irn
yazdi_and_kermani,irn
zaza,tur
abaza,abk
abaza,rus
abaza,tur
abkhaz,jor
abkhaz,tur
abkhaz,abk
abkhaz,geo
abkhaz,syr
abkhaz,rus
adyghe,mkd
adyghe,jor
adyghe,irq
adyghe,tur
adyghe,isr
adyghe,syr
adyghe,rus
adyghe,sau
agul,rus
akhvakh,aze
akhvakh,rus
andi,rus
avar,aze
avar,tur
avar,rus
avar,geo
bagvalal,rus
bats,geo
bezhta,rus
bezhta,geo
botlikh,rus
chamalal,rus
chechen,jor
chechen,kgz
chechen,kaz
chechen,tur
chechen,geo
chechen,syr
chechen,aze
chechen,rus
dargwa,rus
georgian,tur
georgian,irn
georgian,geo
georgian,aze
georgian,rus
ginukh,rus
godoberi,rus
hunzib,rus
hunzib,geo
ingush,rus
kabardian,syr
kabardian,rus
kabardian,tur
kabardian,jor
karata,rus
khvarshi,rus
lak,rus
laz,abk
laz,tur
laz,geo
lezgian,aze
lezgian,rus
mingrelian,abk
mingrelian,tur
mingrelian,geo
rutul,aze
rutul,rus
svan,abk
svan,geo
tabasaran,rus
tindi,rus
tsez,rus
ubykh,rus
ubykh,tur
breton,usa
breton,fra
celtiberian,esp
cornish,gbr
gaulish,aut
gaulish,rou
gaulish,xgl
gaulish,ita
gaulish,che
gaulish,bgr
gaulish,tur
gaulish,deu
gaulish,bel
gaulish,fra
gaulish,hun
gaulish,cze
gaulish,xyg
irish_gaelic,irl
irish_gaelic,gbr
lepontic,ita
manx,gbr
pictish,gbr
scottish_gaelic,gbr
scottish_gaelic,can
welsh,gbr
welsh,aus
welsh,arg
welsh,can
welsh,usa
elamite,xah
elamite,xel
elamite,irn
hattic,xan
hattic,tur
hurrian,syr
hurrian,pse
hurrian,xan
hurrian,xmt
sumerian,irq
urartian,xur
urartian,tur
amharic,eth
argobba,eth
chaha,eth
gafat,eth
geez,eth
harari,eth
tigre,eri
tigrinya,eth
zay,eth
beng,civ
boko,ben
gban,civ
goo,civ
jogo,gha
kakabe,gin
loko,sle
mandinka,sen
mano,lbr
mwan,civ
soninke,mli
susu,gin
tura,civ
wan,civ
yaoure,civ
mamluk_kipchak,kaz
mamluk_kipchak,egy
pecheneg,rou
pecheneg,hun
pecheneg,ukr
pecheneg,mda
pecheneg,rus
urum,ukr
urum,rus
urum,geo
fuyu_kyrgyz,chn
khalaj,irn
khorasani_turkic,irn
yurt_tatar,rus
jurchen,chn
jurchen,xjn
tamil,ind
irula,ind
malayalam,ind
toda,ind
kota,ind
kodagu,ind
badaga,ind
kannada,ind
telugu,ind
kolami,ind
parji,ind
gadaba,ind
pengo,ind
manda,ind
kui,ind
kuvi,ind
konda,ind
gondi,ind
kurukh,ind
malto,ind
brahui,pak
ket,rus
yugh,rus
kott,rus
ainu,jpn
ainu,rus
nivkh,jpn
nivkh,rus
burushaski,ind
burushaski,pak
parthian,xpt
parthian,irn
parthian,irq
parachi,afg
ormuri,afg
ormuri,pak
avestan,xmd
avestan,xbc
avestan,afg
avestan,irn
bactrian,xbc
bactrian,xep
bactrian,afg
bactrian,xks
khotanese,chn
sogdian,chn
sogdian,tjk
sogdian,uzb
sogdian,mng
khwaresmian,xhr
khwaresmian,uzb
pashto,afg
munji,afg
munji,pak
wakhi,chn
wakhi,pak
wakhi,tur
wakhi,afg
wakhi,tjk
wakhi,rus
sanglechi,tjk
sanglechi,afg
ishkashimi,tjk
shughni,tjk
shughni,afg
rushani,tjk
rushani,afg
khufi,tjk
bartangi,tjk
roshorvi,tjk
sariqoli,chn
yazghulami,tjk
yaghnobi,tjk
ossetian,tur
ossetian,rus
ossetian,geo
ossetian,sos
kashmiri,ind
kashmiri,pak
shina,ind
shina,pak
phalura,pak
mayan,ind
mayan,pak
garwi,pak
torwali,pak
khowar,pak
kalasha,pak
tirahi,afg
pashai,afg
grangali,afg
shumashti,afg
katarkalai,afg
gawar,afg
gawar,pak
dameli,pak
kati,afg
kati,pak
waigali,afg
ashkun,afg
prasun,afg
vedic,afg
vedic,ind
vedic,pak
sanskrit,ind
sanskrit,npl
pali,ind
pali,lka
pali,lao
pali,tha
pali,khm
pali,mmr
hindi,ind
hindi,fji
hindi,npl
hindi,pak
awadhi,ind
awadhi,npl
braj,ind
urdu,ind
urdu,pak
urdu,gbr
urdu,can
urdu,deu
urdu,aus
urdu,nor
urdu,fji
urdu,usa
rajasthani,ind
rajasthani,pak
banjari,ind
domaaki,ind
domaaki,pak
bangani,ind
nepali,brn
nepali,ind
nepali,btn
nepali,npl
nepali,gbr
nepali,can
nepali,usa
bote,npl
danwar,npl
darai,npl
kumal,npl
tharu,ind
tharu,npl
maithili,ind
maithili,npl
bhojpuri,ind
bhojpuri,mus
bhojpuri,npl
bhojpuri,sur
bhojpuri,guy
bhojpuri,zaf
bhojpuri,tto
bhojpuri,fji
magahi,ind
sadani,ind
sadani,bgd
assamese,ind
assamese,btn
assamese,bgd
bengali,ind
bengali,bgd
rajbanshi_nepal,btn
rajbanshi_nepal,ind
rajbanshi_nepal,npl
rajbanshi_nepal,bgd
oriya,ind
punjabi,ind
punjabi,pak
pothohari,gbr
pothohari,pak
hindko,pak
sindhi,ind
sindhi,pak
parya,tjk
parya,uzb
gujarati,ind
gujarati,pak
gujarati,tza
gujarati,gbr
gujarati,ken
gujarati,are
gujarati,uga
gujarati,usa
gujarati,sau
saurashtra,ind
marathi,ind
marathi,mus
marathi,pak
marathi,nld
marathi,gbr
marathi,can
marathi,sur
marathi,guy
marathi,deu
marathi,sgp
marathi,aus
marathi,isr
marathi,nzl
marathi,zaf
marathi,tto
marathi,are
marathi,usa
konkani,ind
sinhala,lka
maldivian,ind
maldivian,mdv
domari,isr
lomavren,arm
lomavren,tur
lomavren,geo
hittite,xan
hittite,tur
lydian,tur
palaic,xan
palaic,tur
luwian,xan
luwian,tur
luwian,syr
lycian,tur
lycian,xlc
milyan,tur
phrygian,tur
phrygian,xph
classical_armenian,tur
standard_eastern_armenian,arm
standard_western_armenian,arm
standard_western_armenian,irq
standard_western_armenian,tur
standard_western_armenian,aus
standard_western_armenian,lbn
standard_western_armenian,syr
standard_western_armenian,can
tocharian_a,chn
tocharian_b,chn
andronovo_aryan,rus
galatian,tur
mitanni_indo_aryan,tur
tsakhur,aze
tsakhur,rus
archi,rus
kryz,aze
budukh,aze
udi,aze
udi,arm
udi,rus
udi,geo
khinalug,aze
bamana,mli
kpelle,gin
looma,lbr
dan,civ
kla_dan,civ
guro,civ
lappish,fin
lappish,nor
lappish,rus
lappish,swe
hill_mari,rus
mator,rus
chukchi,rus
koryak,rus
kerek,rus
itelmen,rus
asiatic_eskimo,usa
asiatic_eskimo,rus
sirenik_eskimo,rus
bering_strait_eskimo,usa
bering_strait_eskimo,rus
greenlandic,dnk
greenlandic,grl
aleut,usa
copper_island_aleut,rus
yukaghir,rus
old_novgorod,rus
kurdari,afg
ningalami,afg
sawi,afg
alanic,rus
scythian,irn
wanji,tjk
waneci,pak
sargulami,afg
khunsari,irn
median,irn
sivandi,irn
tajrishi,irn
vonishuni,irn
zefrei,irn
carian,tur
pisidian,tur
sidetic,tur
